41 0.010000000000000002 100 5.551115123125783e-17 + 0.0im ComplexF64[-0.4806603042741304 + 0.6170282698539178im, 1.0 + 0.0im]
42 0.010000000000000002 100 1.2412670766236366e-16 - 0.0im ComplexF64[0.48700640839564224 + 0.25951438390923626im, 1.0 - 0.0im]
43 0.010000000000000002 100 0.0 + 8.81212206892831e-16im ComplexF64[0.7609976984818009 - 2.86076713784892im, 1.0 - 0.0im]
44 0.010000000000000002 100 1.2412670766236366e-16 + 0.0im ComplexF64[-0.36333461299160613 - 0.9588740285573444im, 1.0 + 0.0im]
45 0.010000000000000002 100 4.218847493575595e-15 - 3.552713678800501e-15im ComplexF64[1.0794756105305454 - 4.655718093920757im, 1.0 + 0.0im]
46 0.010000000000000002 100 5.551115123125783e-17 + 4.440892098500626e-16im ComplexF64[0.24082627761853032 - 1.0065320377844846im, 1.0 - 0.0im]
47 0.010000000000000002 100 2.220446049250313e-16 + 0.0im ComplexF64[-0.512139445688704 - 0.37515939101531354im, 1.0 + 0.0im]
48 0.010000000000000002 100 1.150146321171554e-16 - 2.156573059137912e-16im ComplexF64[0.2485118056560161 - 0.5709345384631749im, 1.0 + 0.0im]
49 0.010000000000000002 100 2.4527789405087066e-16 + 8.16611358277281e-17im ComplexF64[-0.7334175733067082 - 0.05930927597186809im, 0.9999999999999999 + 0.0im]
50 0.010000000000000002 100 1.1102230246251565e-16 + 6.245004513516506e-17im ComplexF64[-0.7170791726466128 - 0.03828455573822919im, 1.0 - 0.0im]
51 0.010000000000000002 100 8.926241276830017e-16 + 6.62816140150169e-16im ComplexF64[5.183608584579695 + 1.0869329477172058im, 0.9999999999999999 + 0.0im]
52 0.010000000000000002 100 2.2197977227634226e-16 + 1.3326567390546291e-15im ComplexF64[0.2966130508417201 + 2.207304049445788im, 1.0 + 0.0im]
53 0.010000000000000002 100 9.566792996165864e-17 + 7.247306179377734e-17im ComplexF64[-0.05640689931323967 + 0.35737386878168953im, 0.9999999999999999 - 0.0im]
54 0.010000000000000002 100 1.1102230246251565e-16 - 1.973247953923618e-16im ComplexF64[-0.20835674316514807 - 0.002904994803824111im, 1.0 + 0.0im]
55 0.010000000000000002 100 5.551115123125783e-17 + 1.1102230246251565e-16im ComplexF64[0.25783202136799965 + 0.4786494903677449im, 1.0 + 0.0im]
56 0.010000000000000002 100 0.0 + 4.163336342344337e-17im ComplexF64[-0.28152572562215833 - 0.12334412891089856im, 1.0 - 0.0im]
57 0.010000000000000002 100 1.7763568394002505e-15 + 1.7763568394002505e-15im ComplexF64[6.374945876628968 - 5.315938628480688im, 1.0 - 0.0im]
58 0.010000000000000002 100 2.220446049250313e-16 + 2.7755575615628914e-16im ComplexF64[-1.4191645555944694 + 0.3276214307028361im, 1.0 + 0.0im]
59 0.010000000000000002 100 2.7755575615628914e-17 - 2.220446049250313e-16im ComplexF64[0.07633609068977314 + 1.2010617876995904im, 1.0 - 0.0im]
60 0.010000000000000002 100 3.3306690738754696e-16 + 4.440892098500626e-16im ComplexF64[0.9812082767818993 - 1.1063742931884428im, 1.0 - 0.0im]
61 0.010000000000000002 100 4.163336342344337e-17 + 1.6653345369377348e-16im ComplexF64[-0.06349296176778542 - 0.34205684808495446im, 1.0 - 0.0im]
62 0.010000000000000002 100 2.2203243713339014e-16 + 0.0im ComplexF64[1.0436584041308838 + 2.073750437048534im, 0.9999999999999999 - 6.37376046199872e-17im]
63 0.010000000000000002 100 4.440892098500626e-16 + 0.0im ComplexF64[2.481008490577306 - 1.9345001131900494im, 1.0 - 0.0im]
64 0.010000000000000002 100 3.31817855537811e-16 + 3.3432066100512723e-16im ComplexF64[0.8889883415067502 + 0.8279752919222654im, 1.0 - 0.0im]
65 0.010000000000000002 100 4.440892098500626e-16 + 7.771561172376096e-16im ComplexF64[2.3328344509306573 + 0.7024341223247779im, 1.0 - 0.0im]
66 0.010000000000000002 100 1.1102230246251565e-16 - 1.1102230246251565e-16im ComplexF64[-0.8497904793335777 - 0.6107374326934503im, 1.0 - 0.0im]
67 0.010000000000000002 100 1.1102230246251565e-16 + 2.220446049250313e-16im ComplexF64[0.5728857074923558 + 0.6017408289729637im, 1.0 - 0.0im]
68 0.010000000000000002 100 0.0 + 5.551115123125783e-17im ComplexF64[-1.0458572587140518 + 0.31534635690641677im, 1.0 - 0.0im]
69 0.010000000000000002 100 1.0321604682062002e-16 + 0.0im ComplexF64[0.004763500126046201 - 0.7402926848340076im, 1.0 + 0.0im]
70 0.010000000000000002 100 9.614813431917819e-17 - 0.0im ComplexF64[-0.43652204289369295 + 0.3854005837814712im, 1.0 + 0.0im]
71 0.010000000000000002 100 0.0 + 2.220446049250313e-16im ComplexF64[0.7662600523992155 + 1.0451283119207935im, 1.0 - 0.0im]
72 0.010000000000000002 100 0.0 + 5.551115123125783e-17im ComplexF64[0.510329387218755 - 0.44559844008040495im, 1.0 + 0.0im]
73 0.010000000000000002 100 0.0 + 5.551115123125783e-17im ComplexF64[0.5801519611589445 + 0.48884701929488683im, 1.0 - 0.0im]
74 0.010000000000000002 100 0.0 + 8.881784197001252e-16im ComplexF64[1.0591823327616812 - 5.143158069856775im, 1.0 + 0.0im]
75 0.010000000000000002 100 3.3306690738754696e-16 + 8.881784197001252e-16im ComplexF64[0.5445036274502456 + 3.3296510857081696im, 1.0 - 0.0im]
