51 3.1423255679909564e-5 31824 0.0 ComplexF64[5.183608584579694 + 1.0869329477172052im, 1.0 + 0.0im]
52 5.142180274241707e-5 19448 0.0 ComplexF64[0.2966130508417199 + 2.2073040494457867im, 1.0 - 3.264559199796748e-17im]
53 3.695575284017135e-5 27060 0.0 ComplexF64[-0.056406899313239604 + 0.35737386878168964im, 1.0 - 0.0im]
54 4.280885368177134e-5 23360 0.0 ComplexF64[-0.20835674316514796 - 0.0029049948038243085im, 1.0 + 0.0im]
55 4.1235729331624514e-5 24251 0.0 ComplexF64[0.2578320213679997 + 0.478649490367745im, 1.0 + 0.0im]
56 4.419828566764264e-5 22626 0.0 ComplexF64[-0.28152572562215833 - 0.1233441289108986im, 1.0 - 0.0im]
57 5.477200491867009e-5 18258 0.0 ComplexF64[6.374945876628966 - 5.31593862848069im, 1.0 - 0.0im]
58 5.5232118264548297e-5 18106 0.0 ComplexF64[-1.4191645555944692 + 0.3276214307028364im, 1.0 + 0.0im]
59 3.8373180382403106e-5 26060 0.0 ComplexF64[0.07633609068977316 + 1.2010617876995902im, 1.0 - 0.0im]
60 1.782984691468599e-5 56086 0.0 ComplexF64[0.9812082767818996 - 1.1063742931884424im, 1.0 - 0.0im]
61 3.980826688758131e-5 25121 0.0 ComplexF64[-0.06349296176778538 - 0.3420568480849543im, 1.0 - 0.0im]
62 3.968980369804312e-5 25196 0.0 ComplexF64[1.0436584041308836 + 2.073750437048534im, 0.9999999999999999 - 6.141307522236828e-17im]
63 3.603936429612055e-5 27748 0.0 ComplexF64[2.4810084905773064 - 1.9345001131900494im, 1.0 - 0.0im]
64 4.8355454115902e-5 20681 0.0 ComplexF64[0.8889883415067505 + 0.8279752919222657im, 1.0 - 4.083154566255845e-17im]
65 2.5682836885364057e-5 38937 0.0 ComplexF64[2.3328344509306578 + 0.7024341223247786im, 1.0 - 0.0im]
66 5.023056271875879e-5 19909 0.0 ComplexF64[-0.8497904793335778 - 0.6107374326934502im, 1.0 - 0.0im]
67 3.334494649739686e-5 29990 0.0 ComplexF64[0.5728857074923559 + 0.6017408289729639im, 1.0 - 0.0im]
68 4.480253883094636e-5 22321 0.0 ComplexF64[-1.0458572587140518 + 0.3153463569064168im, 1.0 - 0.0im]
69 3.802551323219016e-5 26299 0.0 ComplexF64[0.004763500126046304 - 0.7402926848340076im, 1.0 + 0.0im]
70 5.614683178410838e-5 17811 0.0 ComplexF64[-0.43652204289369295 + 0.38540058378147113im, 0.9999999999999999 + 0.0im]
71 4.549501389067845e-5 21981 0.0 ComplexF64[0.7662600523992155 + 1.0451283119207937im, 1.0 - 0.0im]
72 2.402230826655623e-5 41629 0.0 ComplexF64[0.510329387218755 - 0.445598440080405im, 1.0 + 0.0im]
73 3.172542015437703e-5 31521 0.0 ComplexF64[0.5801519611589445 + 0.4888470192948869im, 1.0 - 0.0im]
74 1.9969988786729345e-5 50076 0.0 ComplexF64[1.0591823327616812 - 5.143158069856774im, 1.0 + 0.0im]
75 5.049891739854522e-5 19803 0.0 ComplexF64[0.5445036274502459 + 3.3296510857081705im, 1.0 - 0.0im]
76 5.418368351714266e-5 18456 0.0 ComplexF64[-0.5221573268421077 - 0.8041556780321784im, 1.0 - 0.0im]
77 3.8580542440370446e-5 25920 0.0 ComplexF64[0.039344163160500115 + 0.010508550460842652im, 1.0 - 0.0im]
78 5.4046635015078956e-5 18503 0.0 ComplexF64[-0.24791258690231371 + 1.1805542982099884im, 1.0 - 4.005351330644732e-17im]
79 4.0955736828010325e-5 24417 0.0 ComplexF64[1.5836244582690728 - 0.5957808993755298im, 1.0 + 0.0im]
80 4.506782490242955e-5 22189 0.0 ComplexF64[0.3795718145901776 + 0.5301434526106977im, 1.0 - 0.0im]
81 2.9868803432286642e-5 33480 0.0 ComplexF64[0.0016087201627769114 - 0.8452113691710129im, 1.0 + 4.54035100771208e-18im]
82 5.101381412721144e-5 19603 0.0 ComplexF64[-0.044986473006312644 + 1.1235390494952084im, 1.0 + 0.0im]
83 4.844255578371117e-5 20644 0.0 ComplexF64[0.18998082687981865 + 0.06492449172491382im, 1.0 - 0.0im]
84 4.924934934524212e-5 20305 0.0 ComplexF64[1.1289861262247323 + 3.065356611953871im, 1.0 + 0.0im]
85 2.5696480284231903e-5 38916 0.0 ComplexF64[-0.729063200343655 + 1.2568603104260136im, 1.0 - 0.0im]
86 5.168952789687998e-5 19347 0.0 ComplexF64[-0.31750427909799767 + 0.650491178897786im, 1.0 + 0.0im]
87 2.9484053986984545e-5 33917 0.0 ComplexF64[1.4909885583737457 - 1.5448395764080116im, 1.0 - 0.0im]
