43 1.0e-5 100001 5.619036937450618e-16 + 4.387211467476364e-16im ComplexF64[0.7609976984818014 - 2.8607671378489186im, 1.0 - 0.0im]
44 1.0e-5 100001 1.9229626863835638e-16 + 9.61481343191782e-17im ComplexF64[-0.36333461299160624 - 0.9588740285573445im, 1.0 + 0.0im]
45 1.0e-5 100001 8.881784197001252e-16 + 0.0im ComplexF64[1.0794756105305505 - 4.65571809392076im, 1.0 + 0.0im]
46 1.0e-5 100001 4.577566798522237e-16 + 0.0im ComplexF64[0.24082627761852993 - 1.0065320377844842im, 0.9999999999999999 - 0.0im]
47 1.0e-5 100001 1.523387100576261e-16 + 4.045574378112988e-17im ComplexF64[-0.5121394456887041 - 0.3751593910153135im, 0.9999999999999999 + 0.0im]
48 1.0e-5 100001 1.381145199976096e-16 - 1.5837496885309948e-16im ComplexF64[0.2485118056560161 - 0.570934538463175im, 1.0 - 5.687686791508752e-17im]
49 1.0e-5 100001 2.220446049250313e-16 + 1.5959455978986625e-16im ComplexF64[-0.7334175733067082 - 0.05930927597186802im, 1.0 + 0.0im]
50 1.0e-5 100001 1.1102230246251565e-16 - 4.85722573273506e-17im ComplexF64[-0.7170791726466128 - 0.03828455573822908im, 1.0 - 0.0im]
51 1.0e-5 100001 8.881784197001252e-16 - 6.661338147750939e-16im ComplexF64[5.183608584579695 + 1.0869329477172045im, 1.0 + 0.0im]
52 1.0e-5 100001 5.512585344658175e-16 + 0.0im ComplexF64[0.29661305084171935 + 2.2073040494457867im, 1.0 + 3.2644677419127676e-17im]
53 1.0e-5 100001 5.551115123125783e-17 + 5.551115123125783e-17im ComplexF64[-0.05640689931323966 + 0.3573738687816896im, 1.0 - 0.0im]
54 1.0e-5 100001 2.4334017820963723e-16 + 1.0961662774317314e-16im ComplexF64[-0.20835674316514818 - 0.0029049948038244286im, 0.9999999999999999 + 0.0im]
55 1.0e-5 100001 5.551115123125783e-17 + 1.1102230246251565e-16im ComplexF64[0.25783202136799965 + 0.4786494903677449im, 1.0 + 0.0im]
