1 0.001 1000 2.498001805406602e-16 + 2.220446049250313e-16im ComplexF64[0.213803512604228 - 1.728985336995234im, 1.0 - 0.0im]
2 0.001 1000 2.3592239273284576e-16 - 1.6653345369377348e-16im ComplexF64[-0.11463752590331322 - 0.15744522032536998im, 1.0 - 0.0im]
3 0.001 1000 5.551115123125783e-17 + 0.0im ComplexF64[-0.4448554354565087 - 0.5631825260962239im, 1.0 + 0.0im]
4 0.001 1000 2.4005205924879803e-16 - 1.5404098197678794e-16im ComplexF64[0.3553193400856603 + 0.4613475829918144im, 1.0 - 0.0im]
5 0.001 1000 3.398319389965232e-16 + 4.352487296094114e-16im ComplexF64[-0.34755186557157963 - 1.2888827039188455im, 1.0 - 0.0im]
6 0.001 1000 1.330984605670353e-15 + 3.889526346479067e-16im ComplexF64[2.2832829852877556 + 0.4437129022852712im, 1.0 + 0.0im]
7 0.001 1000 1.3877787807814457e-16 + 1.1102230246251565e-16im ComplexF64[-0.2103747497313468 + 0.3452218351555718im, 1.0 - 0.0im]
8 0.001 1000 5.911290721104243e-17 - 6.98348916345405e-17im ComplexF64[1.0142077209353828 - 0.10141819317046728im, 0.9999999999999999 + 3.718301078001491e-17im]
9 0.001 1000 1.1102230246251565e-16 + 0.0im ComplexF64[0.5107059336073968 + 0.7477284828909875im, 1.0 - 0.0im]
10 0.001 1000 5.908176294120449e-17 + 5.2156329764332446e-17im ComplexF64[-0.17738245183462112 - 0.20025077515798143im, 1.0 - 0.0im]
11 0.001 1000 1.2350608586791192e-16 - 6.237522404999513e-18im ComplexF64[0.14262247783244972 + 0.11010138451366151im, 1.0 + 0.0im]
12 0.001 1000 0.0 + 8.326672684688674e-17im ComplexF64[0.5088250931349538 - 0.22461837304215393im, 1.0 - 0.0im]
13 0.001 1000 6.938893903907228e-18 - 4.163336342344337e-17im ComplexF64[-0.046221085636166094 - 0.09157472140325769im, 1.0 - 0.0im]
14 0.001 1000 1.1102230246251565e-16 + 0.0im ComplexF64[0.17246174676134307 - 0.4226752646184556im, 1.0 + 0.0im]
15 0.001 1000 2.220446049250313e-16 - 2.220446049250313e-16im ComplexF64[-0.7846680236019109 + 1.3439195600784826im, 1.0 + 0.0im]
16 0.001 1000 1.7763568394002505e-15 - 1.6653345369377348e-16im ComplexF64[3.5647998697949954 - 0.2757476812656695im, 1.0 - 0.0im]
17 0.001 1000 0.0 + 5.551115123125783e-17im ComplexF64[1.0258313339879455 - 0.416244548480912im, 1.0 - 0.0im]
18 0.001 1000 0.0 + 1.1102230246251565e-16im ComplexF64[0.6960034287042393 + 0.6370794018461394im, 1.0 - 0.0im]
19 0.001 1000 5.551115123125783e-17 - 5.551115123125783e-17im ComplexF64[0.4186933189782844 + 0.36211041068937555im, 1.0 - 0.0im]
20 0.001 1000 1.4122255026661412e-16 + 8.728033604270805e-17im ComplexF64[-0.8373036051473989 + 0.28897808451005585im, 1.0 + 0.0im]
21 0.001 1000 4.163336342344337e-17 - 5.551115123125783e-17im ComplexF64[0.12460364945114205 + 0.33681953650603297im, 1.0 - 0.0im]
22 0.001 1000 1.6653345369377348e-16 + 1.1102230246251565e-16im ComplexF64[0.21314417412244552 + 0.5416199761454317im, 1.0 - 0.0im]
23 0.001 1000 1.1102230246251565e-16 + 0.0im ComplexF64[-0.6395904078015822 + 1.5018245455591555im, 1.0 + 0.0im]
24 0.001 1000 2.4395687991236815e-16 - 1.0105024829392735e-16im ComplexF64[0.5314339765513663 - 0.3457490375648086im, 1.0 - 0.0im]
25 0.001 1000 1.1102230246251565e-16 + 1.6653345369377348e-16im ComplexF64[0.5433361728123138 - 0.3632928531480357im, 1.0 - 0.0im]
26 0.001 1000 5.551115123125783e-17 - 8.500145032286355e-17im ComplexF64[-0.24756417400062225 + 0.008037575660611872im, 1.0 + 0.0im]
27 0.001 1000 0.0 + 8.8994951954034e-16im ComplexF64[-2.0222272666246024 + 0.5166874508345024im, 1.0 - 0.0im]
28 0.001 1000 1.6653345369377348e-16 + 8.326672684688674e-17im ComplexF64[0.20629844075143894 + 0.20027291698780847im, 1.0 - 0.0im]
29 0.001 1000 1.072523361420608e-16 + 2.298495694816755e-16im ComplexF64[-0.3086835090561149 - 0.6754116531742667im, 1.0 - 3.304202072701939e-17im]
30 0.001 1000 2.277512042952147e-16 + 4.329619834844418e-16im ComplexF64[-0.06766895923669743 + 1.3447229080672065im, 1.0 + 0.0im]
31 0.001 1000 5.551115123125783e-17 + 0.0im ComplexF64[-0.37515008303669184 - 0.24166597945764023im, 1.0 + 0.0im]
32 0.001 1000 2.7755575615628914e-16 + 0.0im ComplexF64[0.0627319601976062 + 0.9496848859605047im, 0.9999999999999999 + 0.0im]
33 0.001 1000 2.4825331605317273e-16 + 1.1100568043700112e-19im ComplexF64[-0.35666831517938313 + 0.6580562881632412im, 0.9999999999999999 - 5.759642464181135e-17im]
34 0.001 1000 0.0 + 1.1102230246251565e-16im ComplexF64[0.6976437796109909 + 0.20683585671510749im, 1.0 + 0.0im]
35 0.001 1000 0.0 - 1.1993854684477519e-16im ComplexF64[1.1299209001565953 + 0.7601053009747455im, 1.0 + 4.5379547983183146e-17im]
36 0.001 1000 8.326672684688674e-17 + 5.551115123125783e-17im ComplexF64[-0.14567110850531567 + 0.07298232169810429im, 1.0 + 0.0im]
37 0.001 1000 6.938893903907228e-17 + 0.0im ComplexF64[-0.06293625057965423 + 0.5611283448210475im, 1.0 - 0.0im]
38 0.001 1000 0.0 + 2.220446049250313e-16im ComplexF64[-0.8258636339879912 + 0.253309245799644im, 1.0 - 0.0im]
39 0.001 1000 3.4592318832775306e-16 - 2.137922878832823e-16im ComplexF64[-0.07849544972499681 + 0.593181040603362im, 1.0 - 0.0im]
40 0.001 1000 1.3877787807814457e-16 - 5.551115123125783e-17im ComplexF64[-0.1684433528458096 + 0.4402317798946325im, 1.0 + 0.0im]
41 0.001 1000 1.1280158425755714e-16 + 1.1670258912285896e-16im ComplexF64[-0.4806603042741304 + 0.6170282698539177im, 0.9999999999999999 - 6.306175392409933e-17im]
42 0.001 1000 1.523387100576261e-16 + 4.045574378112988e-17im ComplexF64[0.4870064083956423 + 0.2595143839092363im, 1.0 - 0.0im]
43 0.001 1000 1.1140711109690147e-16 - 1.3276658758370184e-15im ComplexF64[0.760997698481801 - 2.8607671378489203im, 1.0 - 0.0im]
44 0.001 1000 1.5700924586837752e-16 + 0.0im ComplexF64[-0.3633346129916062 - 0.9588740285573444im, 1.0 + 0.0im]
