44 0.0001 10000 1.9229626863835638e-16 + 9.61481343191782e-17im ComplexF64[-0.36333461299160624 - 0.9588740285573445im, 1.0 + 0.0im]
45 0.0001 10000 1.5543122344752192e-15 - 2.6645352591003757e-15im ComplexF64[1.079475610530548 - 4.655718093920758im, 1.0 + 0.0im]
46 0.0001 10000 3.608224830031759e-16 + 0.0im ComplexF64[0.24082627761853 - 1.0065320377844842im, 1.0 - 0.0im]
47 0.0001 10000 2.220446049250313e-16 - 5.551115123125783e-17im ComplexF64[-0.512139445688704 - 0.3751593910153136im, 1.0 + 0.0im]
48 0.0001 10000 1.3877787806618667e-16 + 2.4290787717833576e-21im ComplexF64[0.24851180565601627 - 0.5709345384631751im, 1.0 + 5.688186246600188e-17im]
49 0.0001 10000 1.1102230246251565e-16 + 7.632783294297951e-17im ComplexF64[-0.7334175733067083 - 0.0593092759718681im, 1.0 + 0.0im]
50 0.0001 10000 1.1102230246251565e-16 - 7.632783294297951e-17im ComplexF64[-0.7170791726466126 - 0.038284555738229205im, 1.0 - 0.0im]
51 0.0001 10000 0.0 + 1.1102230246251565e-15im ComplexF64[5.183608584579694 + 1.086932947717204im, 1.0 + 0.0im]
52 0.0001 10000 0.0 + 1.037597010938288e-21im ComplexF64[0.2966130508417199 + 2.2073040494457867im, 1.0 - 3.264662959497842e-17im]
53 0.0001 10000 1.1796119636642288e-16 - 5.551115123125783e-17im ComplexF64[-0.05640689931323972 + 0.3573738687816897im, 1.0 - 0.0im]
54 0.0001 10000 1.3877787807814457e-16 - 1.249000902703301e-16im ComplexF64[-0.2083567431651481 - 0.0029049948038241836im, 1.0 + 0.0im]
55 0.0001 10000 5.551115123125783e-17 - 5.551115123125783e-17im ComplexF64[0.25783202136799976 + 0.47864949036774496im, 1.0 + 0.0im]
56 0.0001 10000 1.2350608586791192e-16 + 6.237522404999513e-18im ComplexF64[-0.2815257256221583 - 0.12334412891089859im, 0.9999999999999999 - 0.0im]
57 0.0001 10000 1.7763568394002505e-15 + 1.7763568394002505e-15im ComplexF64[6.374945876628968 - 5.315938628480688im, 1.0 - 0.0im]
58 0.0001 10000 0.0 + 1.1102230246251565e-16im ComplexF64[-1.4191645555944692 + 0.3276214307028363im, 1.0 + 0.0im]
59 0.0001 10000 1.1102230246251565e-16 + 0.0im ComplexF64[0.07633609068977328 + 1.2010617876995902im, 1.0 - 0.0im]
60 0.0001 10000 1.1102230246251565e-16 + 0.0im ComplexF64[0.9812082767818997 - 1.1063742931884424im, 1.0 - 0.0im]
61 0.0001 10000 1.249000902703301e-16 + 1.1102230246251565e-16im ComplexF64[-0.0634929617677855 - 0.3420568480849544im, 1.0 - 0.0im]
62 0.0001 10000 1.1140857259760068e-15 + 6.120014693230021e-18im ComplexF64[1.0436584041308847 + 2.073750437048534im, 1.0 + 0.0im]
63 0.0001 10000 0.0 + 6.661338147750939e-16im ComplexF64[2.4810084905773064 - 1.93450011319005im, 1.0 - 0.0im]
64 0.0001 10000 1.0733359437170095e-16 - 1.1483777950632117e-16im ComplexF64[0.8889883415067504 + 0.8279752919222658im, 1.0 - 0.0im]
65 0.0001 10000 0.0 + 8.881784197001252e-16im ComplexF64[2.3328344509306578 + 0.7024341223247778im, 1.0 - 0.0im]
66 0.0001 10000 1.4122255026661412e-16 - 8.728033604270805e-17im ComplexF64[-0.8497904793335777 - 0.6107374326934503im, 0.9999999999999999 - 0.0im]
67 0.0001 10000 1.1102230246251565e-16 + 0.0im ComplexF64[0.572885707492356 + 0.6017408289729639im, 1.0 - 0.0im]
68 0.0001 10000 0.0 + 0.0im ComplexF64[-1.0458572587140518 + 0.3153463569064168im, 1.0 - 0.0im]
69 0.0001 10000 1.2766975211076253e-16 - 1.1313936421191345e-16im ComplexF64[0.004763500126046434 - 0.7402926848340077im, 1.0 + 3.3198149617336815e-17im]
70 0.0001 10000 1.142514431546611e-16 + 2.6971107111953033e-17im ComplexF64[-0.4365220428936929 + 0.3854005837814712im, 1.0 + 0.0im]
71 0.0001 10000 0.0 + 2.220446049250313e-16im ComplexF64[0.7662600523992155 + 1.045128311920794im, 1.0 - 0.0im]
72 0.0001 10000 0.0 + 1.6653345369377348e-16im ComplexF64[0.510329387218755 - 0.44559844008040483im, 1.0 + 0.0im]
73 0.0001 10000 0.0 + 5.551115123125783e-17im ComplexF64[0.5801519611589445 + 0.48884701929488683im, 1.0 - 0.0im]
74 0.0001 10000 0.0 + 8.881784197001252e-16im ComplexF64[1.0591823327616812 - 5.143158069856775im, 1.0 + 0.0im]
75 0.0001 10000 1.1102230246251565e-15 - 8.881784197001252e-16im ComplexF64[0.5445036274502448 + 3.3296510857081714im, 1.0 - 0.0im]
76 0.0001 10000 1.5700924586837752e-16 + 0.0im ComplexF64[-0.5221573268421076 - 0.8041556780321784im, 0.9999999999999999 - 0.0im]
77 0.0001 10000 0.0 + 1.5612511283791264e-17im ComplexF64[0.039344163160500115 + 0.010508550460842637im, 1.0 - 0.0im]
78 0.0001 10000 5.4678758314885905e-17 - 2.254248637669348e-16im ComplexF64[-0.24791258690231366 + 1.1805542982099881im, 1.0 + 0.0im]
79 0.0001 10000 4.440892098500626e-16 - 1.1102230246251565e-16im ComplexF64[1.5836244582690724 - 0.5957808993755297im, 1.0 + 0.0im]
80 0.0001 10000 0.0 + 0.0im ComplexF64[0.3795718145901776 + 0.5301434526106977im, 1.0 - 0.0im]
81 0.0001 10000 1.303297098752087e-16 + 3.8677307219271604e-18im ComplexF64[0.0016087201627769797 - 0.8452113691710129im, 0.9999999999999999 - 0.0im]
82 0.0001 10000 1.523280699435534e-16 + 2.0229284807202322e-16im ComplexF64[-0.04498647300631278 + 1.1235390494952082im, 0.9999999999999999 + 0.0im]
83 0.0001 10000 5.551115123125783e-17 + 6.938893903907228e-17im ComplexF64[0.1899808268798187 + 0.0649244917249139im, 1.0 - 0.0im]
84 0.0001 10000 1.5543122344752192e-15 - 1.7763568394002505e-15im ComplexF64[1.1289861262247307 + 3.065356611953873im, 1.0 + 0.0im]
85 0.0001 10000 2.220446049250313e-16 + 2.220446049250313e-16im ComplexF64[-0.7290632003436552 + 1.2568603104260134im, 1.0 - 0.0im]
86 0.0001 10000 5.551115123125783e-17 + 0.0im ComplexF64[-0.3175042790979977 + 0.650491178897786im, 1.0 + 0.0im]
87 0.0001 10000 2.220446049250313e-16 + 1.1102230246251565e-15im ComplexF64[1.4909885583737454 - 1.5448395764080127im, 1.0 - 0.0im]
88 0.0001 10000 1.1102230246251565e-16 + 1.3877787807814457e-16im ComplexF64[-0.28780745160808463 + 0.16123084669875115im, 1.0 - 0.0im]
89 0.0001 10000 0.0 + 2.220446049250313e-16im ComplexF64[-0.8426734995629602 + 0.5006818236810826im, 1.0 - 0.0im]
90 0.0001 10000 2.3632705176481795e-16 - 2.0862531905732979e-16im ComplexF64[0.5513212504308872 + 1.3985619503382294im, 0.9999999999999999 + 0.0im]
91 0.0001 10000 2.220446049250313e-16 + 1.1102230246251565e-16im ComplexF64[-1.9520328968842613 + 0.9815627658876677im, 1.0 - 0.0im]
92 0.0001 10000 1.3321260523221656e-15 + 3.1089548509248085e-15im ComplexF64[-3.219497473287991 - 2.215978427218684im, 1.0 + 4.9309163482478806e-17im]
93 0.0001 10000 9.941043127024234e-17 - 6.199526290440698e-17im ComplexF64[-0.5721270561861693 + 0.3235897460729778im, 1.0 - 0.0im]
94 0.0001 10000 1.1102230246251565e-16 + 3.469446951953614e-16im ComplexF64[0.5398537136058099 + 0.09758415287254232im, 1.0 + 0.0im]
95 0.0001 10000 2.4597131001979513e-16 - 7.046907014517335e-17im ComplexF64[0.5912871484197543 + 0.015250183014484836im, 1.0 + 0.0im]
96 0.0001 10000 5.551115123125783e-17 - 1.6653345369377348e-16im ComplexF64[0.23310317763986224 - 0.4141751851280332im, 1.0 - 0.0im]
97 0.0001 10000 1.1442612306232976e-16 + 4.3087893967583487e-16im ComplexF64[0.8092038916376733 - 2.5249868079683098im, 0.9999999999999999 - 0.0im]
98 0.0001 10000 1.5700924586837752e-16 + 0.0im ComplexF64[0.5316110462696148 + 1.7035742200780353im, 1.0 - 0.0im]
99 0.0001 10000 2.7755575615628914e-17 + 0.0im ComplexF64[0.11926747261400349 + 0.3934834878777496im, 1.0 + 0.0im]
100 0.0001 10000 2.220446049250313e-16 - 6.661338147750939e-16im ComplexF64[-1.3494194711204592 + 1.050775982549308im, 1.0 + 0.0im]
