43 0.1 10 2.482534153247273e-16 - 0.0im ComplexF64[0.7609976984818011 - 2.860767137848919im, 1.0 - 0.0im]
44 0.1 10 1.2412670766236366e-16 - 0.0im ComplexF64[-0.363334612991606 - 0.9588740285573444im, 1.0 + 0.0im]
45 0.1 10 2.220446049250313e-15 - 3.552713678800501e-15im ComplexF64[1.0794756105305474 - 4.655718093920757im, 1.0 + 0.0im]
46 0.1 10 1.3877787807814457e-16 + 2.220446049250313e-16im ComplexF64[0.24082627761853023 - 1.0065320377844844im, 1.0 - 0.0im]
47 0.1 10 0.0 + 5.551115123125783e-17im ComplexF64[-0.5121394456887042 - 0.3751593910153136im, 1.0 + 0.0im]
48 0.1 10 7.667731148398684e-17 - 3.234822038358962e-16im ComplexF64[0.24851180565601613 - 0.5709345384631748im, 1.0 + 0.0im]
49 0.1 10 2.220446049250313e-16 + 7.632783294297951e-17im ComplexF64[-0.7334175733067082 - 0.0593092759718681im, 1.0 + 0.0im]
50 0.1 10 0.0 + 9.020562075079397e-17im ComplexF64[-0.7170791726466127 - 0.03828455573822922im, 1.0 - 0.0im]
51 0.1 10 0.0 + 2.220446049250313e-16im ComplexF64[5.183608584579694 + 1.086932947717205im, 1.0 + 0.0im]
52 0.1 10 1.6614013078613103e-16 + 4.451405540282836e-16im ComplexF64[0.29661305084171974 + 2.2073040494457863im, 1.0 + 0.0im]
53 0.1 10 6.938893903907228e-18 + 0.0im ComplexF64[-0.05640689931323961 + 0.35737386878168964im, 1.0 - 0.0im]
54 0.1 10 2.220446049250313e-16 - 8.760353553682876e-17im ComplexF64[-0.20835674316514818 - 0.002904994803824221im, 1.0 + 0.0im]
55 0.1 10 5.551115123125783e-17 + 5.551115123125783e-17im ComplexF64[0.25783202136799965 + 0.47864949036774496im, 1.0 + 0.0im]
56 0.1 10 5.551115123125783e-17 - 5.551115123125783e-17im ComplexF64[-0.2815257256221584 - 0.12334412891089855im, 1.0 - 0.0im]
57 0.1 10 1.7770510270330537e-15 - 3.5513258458901365e-15im ComplexF64[6.374945876628964 - 5.315938628480686im, 0.9999999999999999 - 0.0im]
58 0.1 10 2.220446049250313e-16 - 1.6653345369377348e-16im ComplexF64[-1.419164555594469 + 0.3276214307028362im, 1.0 + 0.0im]
59 0.1 10 2.7336071744532853e-16 + 0.0im ComplexF64[0.07633609068977341 + 1.2010617876995902im, 0.9999999999999999 - 0.0im]
60 0.1 10 6.661338147750939e-16 + 0.0im ComplexF64[0.9812082767818989 - 1.1063742931884424im, 1.0 - 0.0im]
61 0.1 10 2.7755575615628914e-17 + 0.0im ComplexF64[-0.06349296176778535 - 0.3420568480849543im, 1.0 - 0.0im]
62 0.1 10 1.3359635907624546e-15 + 8.869043379990256e-16im ComplexF64[1.043658404130885 + 2.0737504370485347im, 1.0 - 4.717678044734396e-17im]
63 0.1 10 4.440892098500626e-16 + 2.220446049250313e-16im ComplexF64[2.481008490577307 - 1.9345001131900492im, 1.0 - 0.0im]
64 0.1 10 0.0 + 2.257676276561962e-16im ComplexF64[0.8889883415067505 + 0.8279752919222655im, 1.0 - 0.0im]
65 0.1 10 8.881784197001252e-16 + 6.661338147750939e-16im ComplexF64[2.332834450930657 + 0.702434122324778im, 1.0 - 0.0im]
66 0.1 10 1.1102230246251565e-16 - 2.220446049250313e-16im ComplexF64[-0.8497904793335777 - 0.6107374326934504im, 1.0 - 0.0im]
67 0.1 10 0.0 + 2.2946159240594815e-16im ComplexF64[0.5728857074923559 + 0.6017408289729637im, 1.0 + 5.786895379355201e-17im]
68 0.1 10 0.0 + 0.0im ComplexF64[-1.0458572587140518 + 0.3153463569064167im, 0.9999999999999999 - 0.0im]
69 0.1 10 1.5213731684629955e-16 - 0.0im ComplexF64[0.00476350012604646 - 0.7402926848340076im, 1.0 + 3.5061199087589946e-17im]
70 0.1 10 1.1102230246251565e-16 + 0.0im ComplexF64[-0.43652204289369295 + 0.38540058378147113im, 1.0 + 0.0im]
71 0.1 10 0.0 + 3.7794830088802534e-17im ComplexF64[0.7662600523992155 + 1.0451283119207937im, 1.0 - 3.7794830088802534e-17im]
72 0.1 10 1.1102230246251565e-16 - 1.1102230246251565e-16im ComplexF64[0.5103293872187549 - 0.4455984400804049im, 1.0 + 0.0im]
73 0.1 10 0.0 + 1.1102230246251565e-16im ComplexF64[0.5801519611589445 + 0.4888470192948868im, 1.0 - 0.0im]
74 0.1 10 2.220446049250313e-16 + 8.881784197001252e-16im ComplexF64[1.059182332761681 - 5.143158069856775im, 1.0 + 0.0im]
75 0.1 10 5.551115123125783e-16 - 1.7763568394002505e-15im ComplexF64[0.5445036274502454 + 3.3296510857081723im, 1.0 - 0.0im]
76 0.1 10 1.1102230246251565e-16 + 1.1102230246251565e-16im ComplexF64[-0.5221573268421078 - 0.8041556780321785im, 1.0 - 0.0im]
